Ano,Mes,Dia,Ação,C. Amarelo,C. Vermelho,Adversário,Competição,Time,PLACAR,Resultado
2018,09,16,2 Gol(s),0,0,Sassuolo,SA,Juventus,2-1,Vitória
2018,09,01,Nenhuma,0,0,Parma,SA,Juventus,1-2,Vitória
2018,08,25,1 Assist.,0,0,Lazio,SA,Juventus,2-0,Vitória
2018,08,18,Nenhuma,0,0,Chievo,SA,Juventus,2-3,Vitória
2018,06,30,Nenhuma,1,0,Uruguai,Copa do Mundo,Portugal,2-1,Derrota
2018,06,25,Nenhuma,1,0,Irã,Copa do Mundo,Portugal,1-1,Empate
2018,06,20,1 Gol(s),0,0,Marrocos,Copa do Mundo,Portugal,1-0,Derrota
2018,06,15,3 Gol(s),0,0,Espanha,Copa do Mundo,Portugal,3-3,Empate
2018,06,07,1 Assist.,0,0,Argélia,Amistosos da Seleção,Portugal,3-0,Vitória
2018,05,26,Nenhuma,0,0,Liverpool,Champions League,Real Madrid,3-1,Derrota
2018,05,19,1 Gol(s),0,0,Villarreal,La Liga (Espanha),Real Madrid,2-2,Empate
2018,05,06,1 Gol(s),0,0,Barcelona,La Liga (Espanha),Real Madrid,2-2,Empate
2018,05,01,Nenhuma,0,0,Bayern München,Champions League,Real Madrid,2-2,Empate
2018,04,25,Nenhuma,0,0,Bayern München,Champions League,Real Madrid,1-2,Vitória
2018,04,18,1 Gol(s),0,0,Athletic Bilbao,La Liga (Espanha),Real Madrid,1-1,Empate
2018,04,11,1 Gol(s),1,0,Juventus,Champions League,Real Madrid,1-3,Derrota
2018,04,08,1 Gol(s),0,0,Atlético de Madrid,La Liga (Espanha),Real Madrid,1-1,Empate
2018,04,03,2 Gol(s) / 1 Assist.,0,0,Juventus,Champions League,Real Madrid,0-3,Vitória
2018,03,26,Nenhuma,0,0,Holanda,Amistosos da Seleção,Portugal,0-3,Vitória
2018,03,23,2 Gol(s),0,0,Egito,Amistosos da Seleção,Portugal,1-2,Vitória
2018,03,18,4 Gol(s) / 1 Assist.,0,0,Girona,La Liga (Espanha),Real Madrid,6-3,Vitória
